name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,unclassified
ALL,3245,77,114,33,0,0,0,10,1,0,0,135,33,24,0,0,0,0,1,0,2,136,175,136,5,1,16,46,29,0,22,2249
25_eurovision-75_folk0.csv.txt.txt-tlf1d-pattern1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25_eurovision-75_folk0.csv.txt.txt-tlf1d-pattern2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
25_eurovision-75_folk0.csv.txt.txt-tlf1d-pattern3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25_eurovision-75_folk0.csv.txt.txt-tlf1d-pattern4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25_eurovision-75_folk1.csv.txt.txt-tlf1d-pattern1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
25_eurovision-75_folk1.csv.txt.txt-tlf1d-pattern2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk1.csv.txt.txt-tlf1d-pattern3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk1.csv.txt.txt-tlf1d-pattern4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk10.csv.txt.txt-tlf1d-pattern1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25_eurovision-75_folk10.csv.txt.txt-tlf1d-pattern2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk10.csv.txt.txt-tlf1d-pattern3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk10.csv.txt.txt-tlf1d-pattern4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk11.csv.txt.txt-tlf1d-pattern1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk11.csv.txt.txt-tlf1d-pattern2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk11.csv.txt.txt-tlf1d-pattern3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk11.csv.txt.txt-tlf1d-pattern4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk11.csv.txt.txt-tlf1d-pattern5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk12.csv.txt.txt-tlf1d-pattern11,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
25_eurovision-75_folk13.csv.txt.txt-tlf1d-pattern1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
25_eurovision-75_folk13.csv.txt.txt-tlf1d-pattern2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
25_eurovision-75_folk13.csv.txt.txt-tlf1d-pattern3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
25_eurovision-75_folk13.csv.txt.txt-tlf1d-pattern4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
25_eurovision-75_folk14.csv.txt.txt-tlf1d-pattern1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk14.csv.txt.txt-tlf1d-pattern2,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk14.csv.txt.txt-tlf1d-pattern3,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25_eurovision-75_folk14.csv.txt.txt-tlf1d-pattern4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
25_eurovision-75_folk15.csv.txt.txt-tlf1d-pattern11,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,8
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,1,0,0,0,0
25_eurovision-75_folk16.csv.txt.txt-tlf1d-pattern14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern2,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern6,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk17.csv.txt.txt-tlf1d-pattern10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25_eurovision-75_folk18.csv.txt.txt-tlf1d-pattern1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25_eurovision-75_folk18.csv.txt.txt-tlf1d-pattern2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25_eurovision-75_folk18.csv.txt.txt-tlf1d-pattern3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25_eurovision-75_folk18.csv.txt.txt-tlf1d-pattern4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
