name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,unclassified
ALL,1830,1.75,2.51,0.71,0.00,0.00,0.60,0.11,0.11,0.00,0.00,5.25,3.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.78,3.44,4.86,0.11,0.05,0.66,2.57,1.91,0.00,1.31,50.98
bach2-Ngrams-pattern1,60,25.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bach2-Ngrams-pattern2,59,3.39,1.69,18.64,0.00,0.00,16.95,0.00,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.93
bach2-Ngrams-pattern3,58,1.72,0.00,1.72,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,0.00,0.00,0.00,1.72,13.79,0.00,0.00,0.00,0.00,60.34
bach2-Ngrams-pattern4,57,1.75,0.00,1.75,0.00,0.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,17.54,19.30,0.00,0.00,0.00,8.77,1.75,0.00,0.00,31.58
bach2-Ngrams-pattern5,56,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,3.57,5.36,0.00,0.00,1.79,0.00,0.00,0.00,0.00,80.36
bach2-Ngrams-pattern6,55,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,1.82,0.00,0.00,1.82,0.00,0.00,0.00,0.00,74.55
bach2-Ngrams-pattern7,54,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.96,9.26,18.52,0.00,0.00,0.00,11.11,7.41,0.00,9.26,24.07
bach2-Ngrams-pattern8,53,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,3.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.42,7.55,7.55,0.00,0.00,3.77,3.77,5.66,0.00,5.66,32.08
bach2-Ngrams-pattern9,52,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,11.54,7.69,0.00,0.00,0.00,3.85,15.38,0.00,1.92,26.92
bach2-Ngrams-pattern10,51,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,3.92,9.80,0.00,0.00,0.00,0.00,11.76,0.00,1.96,41.18
bach2-Ngrams-pattern11,50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,6.00,6.00,0.00,0.00,0.00,0.00,4.00,0.00,6.00,46.00
bach2-Ngrams-pattern12,49,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,12.24,8.16,2.04,0.00,0.00,2.04,10.20,0.00,2.04,34.69
bach2-Ngrams-pattern13,48,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.25,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,8.33,37.50
bach2-Ngrams-pattern14,47,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.89,4.26,4.26,2.13,0.00,0.00,10.64,6.38,0.00,6.38,36.17
bach2-Ngrams-pattern15,46,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,4.35,0.00,0.00,0.00,10.87,0.00,0.00,4.35,47.83
bach2-Ngrams-pattern16,45,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,53.33
bach2-Ngrams-pattern17,44,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,4.55,0.00,0.00,0.00,0.00,6.82,0.00,0.00,0.00,52.27
bach2-Ngrams-pattern18,43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.28,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,58.14
bach2-Ngrams-pattern19,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,9.52,2.38,0.00,0.00,0.00,0.00,2.38,0.00,2.38,45.24
bach2-Ngrams-pattern20,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,2.44,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.10
bach2-Ngrams-pattern21,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00
bach2-Ngrams-pattern22,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.95,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.85
