name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,unclassified
ALL,1830,32,46,13,0,0,11,2,2,0,0,96,60,0,0,0,0,0,0,0,0,362,63,89,2,1,12,47,35,0,24,933
bach2-Ngrams-pattern1,60,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bach2-Ngrams-pattern2,59,2,1,11,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
bach2-Ngrams-pattern3,58,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,8,0,0,0,0,35
bach2-Ngrams-pattern4,57,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,11,0,0,0,5,1,0,0,18
bach2-Ngrams-pattern5,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,1,0,0,0,0,45
bach2-Ngrams-pattern6,55,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,41
bach2-Ngrams-pattern7,54,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,5,10,0,0,0,6,4,0,5,13
bach2-Ngrams-pattern8,53,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,14,4,4,0,0,2,2,3,0,3,17
bach2-Ngrams-pattern9,52,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,13,6,4,0,0,0,2,8,0,1,14
bach2-Ngrams-pattern10,51,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,12,2,5,0,0,0,0,6,0,1,21
bach2-Ngrams-pattern11,50,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,2,0,3,23
